tier_id,tier_label,rank,robot_id,location,hardware,model,ohb1_score,score_general,score_home,score_industrial,credits,safety_certified,harness_config,last_run,work_units
pi5-hailo,Pi5 + Hailo-8L,1,Fleet_Pi5_Berlin,"Berlin, DE",Pi5 + Hailo-8L,gemini-2.5-flash,0.9241,0.94,0.91,0.93,2847,True,lower_cost / thinking_budget=2048 / drift_detection=true,2026-03-22,441
pi5-hailo,Pi5 + Hailo-8L,2,RobotOwner_a2c9,"Tokyo, JP",Pi5 + Hailo-8L,gemini-2.5-flash,0.9108,0.92,0.9,0.91,2201,True,lower_cost / thinking_budget=1024 / context_budget=16384,2026-03-21,389
pi5-hailo,Pi5 + Hailo-8L,3,HailoBot_7f3a,"Austin, TX",Pi5 + Hailo-8L,gemini-2.5-flash,0.8979,0.91,0.88,0.9,1834,True,lower_cost / thinking_budget=1024 / retry_on_error=true,2026-03-19,312
pi5-hailo,Pi5 + Hailo-8L,4,EdgeFleet_Oslo,"Oslo, NO",Pi5 + Hailo-8L,gemini-2.5-flash,0.8712,0.89,0.85,0.87,1102,True,lower_cost / thinking_budget=512 / drift_detection=true,2026-03-16,201
pi5-hailo,Pi5 + Hailo-8L,5,NpuNode_Seoul,"Seoul, KR",Pi5 + Hailo-8L,gemma3:4b,0.8441,0.87,0.82,0.84,891,False,lower_cost / thinking_budget=1024 / context_budget=8192,2026-03-14,178
pi5-8gb,Pi5 8GB,1,RobotOwner_7f3a,"Portland, OR",Pi5 8GB,gemini-2.5-flash,0.8812,0.9,0.87,0.88,1203,True,lower_cost / thinking_budget=1024 / context_budget=8192,2026-03-21,288
pi5-8gb,Pi5 8GB,2,PiFleet_Munich,"Munich, DE",Pi5 8GB,gemini-2.5-flash,0.8644,0.88,0.85,0.86,987,True,lower_cost / thinking_budget=1024 / drift_detection=true,2026-03-20,241
pi5-8gb,Pi5 8GB,3,RaspBot_Chicago,"Chicago, IL",Pi5 8GB,gemini-2.5-flash,0.8503,0.86,0.84,0.85,812,True,lower_cost / thinking_budget=512 / retry_on_error=true,2026-03-18,197
pi5-8gb,Pi5 8GB,4,NodeBot_London,"London, UK",Pi5 8GB,gemma3:4b,0.8211,0.84,0.8,0.82,634,False,lower_cost / thinking_budget=1024 / context_budget=4096,2026-03-15,153
pi5-8gb,Pi5 8GB,5,HomeBot_Sydney,"Sydney, AU",Pi5 8GB,gemma3:4b,0.7988,0.82,0.78,0.79,501,False,lower_cost / thinking_budget=512 / drift_detection=false,2026-03-12,121
pi5-4gb,Pi5 4GB,1,Raspi_Portland,"Portland, OR",Pi5 4GB,gemma3:1b,0.8103,0.83,0.8,0.8,891,True,lower_cost / thinking_budget=512 / context_budget=4096 / local_model=gemma3:1b,2026-03-22,203
pi5-4gb,Pi5 4GB,2,LiteBot_Denver,"Denver, CO",Pi5 4GB,gemma3:1b,0.7941,0.81,0.78,0.79,712,True,lower_cost / thinking_budget=512 / retry_on_error=true,2026-03-20,178
pi5-4gb,Pi5 4GB,3,EdgePi_Helsinki,"Helsinki, FI",Pi5 4GB,gemma3:1b,0.7788,0.8,0.76,0.77,588,False,lower_cost / thinking_budget=256 / context_budget=4096,2026-03-17,142
